"","Name..1","Date","Time","Product.List","Name..5","Product.Code","Subcategory","Status","Retail_Price","Cost","Min","Max","On.Order","On_HandQty","Print.Labels","Type","Man","Vendor","Cluster"
"1","Vaya Salon",43181,"9:44:22AM","'A-FRAME UNIT'","'A-Frame Unit Display'","'018084514863BB'","'A-FRAME UNIT'","'Active'",0,80,0,0,0,0,"No'","'Prof'","'Aveda'","'Not Listed'",4
"2","Vaya Salon",43181,"9:44:22AM","'AIR CARE / CANDLE TESTERS'","'Caribbean Therapy Candle'","'T018084839713'","'AIR CARE / CANDLE TESTERS'","'Active'",0,15,0,0,0,0,"'No'","'Prof'","'Aveda'","'Not Listed'",2
"3","Vaya Salon",43181,"9:44:22AM","'AIR CARE / CANDLE TESTERS'","'Shampure Candle'","'T018084837214'","'AIR CARE / CANDLE TESTERS'","'Active'",0,15,0,0,0,1,"'No'","'Prof'","'Aveda'","'Not Listed'",2
"4","Vaya Salon",43181,"9:44:22AM","'AIR CARE / CANDLES'","'Caribbean Therapy Candle'","'018084839713'","'AIR CARE / CANDLES'","'Active'",42,20,0,0,0,0,"'No'","'Retail'","'Aveda'","'Not Listed'",3
"5","Vaya Salon",43181,"9:44:22AM","'AIR CARE / CANDLES'","'Caribbean Therapy Candle BB'","'018084909959BB'","'AIR CARE / CANDLES'","'Active'",0,12,0,0,0,2,"'No'","'Prof'","'Aveda'","'Not Listed'",2
"6","Vaya Salon",43181,"9:44:22AM","'AIR CARE / CANDLES'","'Shampure Candle'","'018084837214'","'AIR CARE / CANDLES'","'Active'",42,20,0,0,0,-2,"'No'","'Retail'","'Aveda'","'Not Listed'",3
"7","Vaya Salon",43181,"9:44:22AM","'AIR CARE / CANDLES'","'Shampure Candle BB'","'018084909942BB'","'AIR CARE / CANDLES'","'Active'",0,12,0,0,0,0,"'No'","'Prof'","'Aveda'","'Not Listed'",2
"8","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Extension Hair'","'81918'","'Accessories'","'Active'",0,0,0,0,0,0,"'Yes'","'Retail'","'Aveda'","'Aveda'",1
"9","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Leather Choker Nc'","'Lthrcknc'","'Accessories'","'Active'",45,18,0,0,0,2,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",3
"10","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Long Chain Rose Gold Nc'","'Lcrgnc'","'Accessories'","'Active'",20,8,0,0,0,1,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",3
"11","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Long Gold Or Silver Chain'","'Lcnc'","'Accessories'","'Active'",18,7.2,0,0,0,3,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",3
"12","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Neuro Wand'","'009531122281'","'Accessories'","'Active'",90,60,0,0,0,0,"'Yes'","'Retail'","'T3'","'Not Listed'",3
"13","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Purse Hook'","'1'","'Accessories'","'Active'",5,5,0,0,0,0,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",2
"14","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Rose Gold Chain 6 Charms'","'37'","'Accessories'","'Active'",64,25.6,0,0,0,0,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",3
"15","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Rose Gold Coin Holder Nc'","'Rgchnc'","'Accessories'","'Active'",35,14,0,0,0,1,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",3
"16","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Sc6'","'38'","'Accessories'","'Active'",64,25.6,0,0,0,0,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",3
"17","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Shammy Cloth'","'SHCL'","'Accessories'","'Active'",9.5,4.75,0,0,0,0,"'No'","'Retail'","'Aveda'","'Aveda'",2
"18","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Short Gold Chain Nc'","'Sgcnc'","'Accessories'","'Active'",18,7.2,0,0,0,1,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",3
"19","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Short Mixed Chain Nc'","'Smcnc'","'Accessories'","'Active'",16,6.4,0,0,0,1,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",3
"20","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Short Silver Chain Nc'","'Sscnc'","'Accessories'","'Active'",16,6.4,0,0,0,1,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",3
"21","Vaya Salon",43181,"9:44:22AM","'Accessories'","'Silver Coin Holder Nc'","'Schnc'","'Accessories'","'Active'",29,11.6,0,0,0,3,"'Yes'","'Retail'","'Not Listed'","'Not Listed'",3
